Zipcode,2019MonthlyMeanIncome
00601,5509
00602,12740
00603,19228
00606,1946
00610,8795
00612,22809
00616,3449
00617,7910
00622,2067
00623,13406
00624,7411
00627,11394
00631,629
00637,7033
00638,5899
00641,8945
00646,11652
00647,1919
00650,5136
00652,1319
00653,3596
00656,6502
00659,14160
00660,6255
00662,13849
00664,4878
00667,7781
00669,9597
00670,2680
00674,14858
00676,13425
00677,5029
00678,8811
00680,18364
00682,11868
00683,11067
00685,13383
00687,9645
00688,4237
00690,2407
00692,11330
00693,19035
00694,30
00698,10926
00703,8475
00704,2724
00705,8527
00707,3815
00714,5899
00715,1032
00716,11060
00717,6759
00718,7979
00719,8598
00720,6626
00723,6162
00725,30256
00727,19252
00728,13139
00729,16481
00730,11558
00731,4361
00735,4303
00736,17238
00738,11558
00739,11793
00740,740
00741,1324
00745,15867
00751,7609
00754,13650
00757,7367
00765,2210
00766,8071
00767,11541
00769,13040
00771,12199
00772,6438
00773,6582
00775,474
00777,12782
00778,14498
00780,3982
00782,5207
00783,10375
00784,13708
00786,99
00791,16291
00794,8741
00795,14782
00901,2760
00906,115
00907,8043
00909,2243
00911,3591
00912,2578
00913,3310
00915,10615
00917,8326
00918,8055
00920,6821
00921,13545
00923,10039
00924,19230
00925,3189
00926,36114
00927,5963
00934,29
00936,0
00949,25628
00950,0
00951,0
00952,2796
00953,21729
00956,24607
00957,14300
00959,17685
00960,0
00961,11278
00962,6829
00965,2514
00966,5841
00968,1797
00969,14343
00971,8657
00976,21424
00979,8197
00982,5910
00983,13284
00985,12166
00987,20567
01001,7413
01002,9798
01003,42
01005,1944
01007,5563
01008,490
01009,114
01010,1447
01011,564
01012,272
01013,9140
01020,12798
01022,1154
01026,448
01027,7928
01028,5958
01029,238
01030,4416
01031,537
01032,234
01033,2603
01034,855
01035,2294
01036,2000
01037,238
01038,1220
01039,543
01040,15278
01050,1067
01053,565
01054,766
01056,7925
01057,3526
01060,6556
01062,4171
01063,0
01066,31
01068,688
01069,3508
01070,296
01071,526
01072,630
01073,2406
01074,95
01075,6616
01077,3804
01079,342
01080,918
01081,756
01082,4587
01083,1066
01084,75
01085,15551
01086,0
01088,242
01089,12605
01092,461
01093,117
01094,205
01095,5253
01096,1060
01097,20
01098,584
01103,1481
01104,8910
01105,4991
01106,5769
01107,3849
01108,9690
01109,9304
01118,5692
01119,4900
01128,1085
01129,2864
01151,3430
01199,0
01201,20020
01220,3774
01222,343
01223,1067
01224,64
01225,1448
01226,3088
01229,48
01230,3511
01235,1116
01236,538
01237,1036
01238,2308
01240,2098
01242,160
01243,144
01244,58
01245,397
01247,6562
01253,406
01254,443
01255,353
01256,293
01257,918
01258,214
01259,286
01260,140
01262,490
01264,80
01266,572
01267,2372
01270,343
01301,8164
01330,574
01331,5271
01337,1073
01338,61
01339,547
01340,756
01341,778
01342,365
01343,29
01344,546
01346,183
